persona_id,age,age_bucket,gender,race_ethnicity,education,income_bracket,ses,party_id,ideology,persona_text
1,22,18-29,male,White,No HS / HS only,<25k,Low,Independent / Other,Moderate,"22-year-old White male American with no hs / hs only education, <25k income, Independent / Other party identification, and a moderate political ideology."
2,19,18-29,male,White,Some college / Associate,<25k,Low,Democrat,Moderate,"19-year-old White male American with some college / associate education, <25k income, Democrat party identification, and a moderate political ideology."
3,39,30-44,male,White,Bachelor's,75k-100k,Upper-middle,Democrat,Moderate,"39-year-old White male American with bachelor's education, 75k-100k income, Democrat party identification, and a moderate political ideology."
4,42,30-44,female,White,No HS / HS only,<25k,Low,Independent / Other,Moderate,"42-year-old White female American with no hs / hs only education, <25k income, Independent / Other party identification, and a moderate political ideology."
5,62,45-64,male,White,Graduate degree,<25k,Upper-middle,Democrat,Moderate,"62-year-old White male American with graduate degree education, <25k income, Democrat party identification, and a moderate political ideology."
6,33,30-44,male,Hispanic,No HS / HS only,25k-50k,Lower-middle,Democrat,Very liberal,"33-year-old Hispanic male American with no hs / hs only education, 25k-50k income, Democrat party identification, and a very liberal political ideology."
7,22,18-29,female,White,Bachelor's,<25k,Upper-middle,Republican,Conservative,"22-year-old White female American with bachelor's education, <25k income, Republican party identification, and a conservative political ideology."
8,47,45-64,male,Hispanic,No HS / HS only,75k-100k,Upper-middle,Democrat,Moderate,"47-year-old Hispanic male American with no hs / hs only education, 75k-100k income, Democrat party identification, and a moderate political ideology."
9,62,45-64,male,White,No HS / HS only,100k-150k,Upper-middle,Democrat,Conservative,"62-year-old White male American with no hs / hs only education, 100k-150k income, Democrat party identification, and a conservative political ideology."
10,31,30-44,male,White,Graduate degree,100k-150k,High,Democrat,Moderate,"31-year-old White male American with graduate degree education, 100k-150k income, Democrat party identification, and a moderate political ideology."
11,79,65+,female,White,No HS / HS only,75k-100k,Upper-middle,Republican,Conservative,"79-year-old White female American with no hs / hs only education, 75k-100k income, Republican party identification, and a conservative political ideology."
12,56,45-64,female,White,Graduate degree,50k-75k,Upper-middle,Democrat,Very liberal,"56-year-old White female American with graduate degree education, 50k-75k income, Democrat party identification, and a very liberal political ideology."
13,58,45-64,female,White,Some college / Associate,50k-75k,Middle,Republican,Liberal,"58-year-old White female American with some college / associate education, 50k-75k income, Republican party identification, and a liberal political ideology."
14,86,65+,male,Hispanic,Bachelor's,50k-75k,Upper-middle,Democrat,Moderate,"86-year-old Hispanic male American with bachelor's education, 50k-75k income, Democrat party identification, and a moderate political ideology."
15,37,30-44,female,White,Bachelor's,75k-100k,Upper-middle,Independent / Other,Conservative,"37-year-old White female American with bachelor's education, 75k-100k income, Independent / Other party identification, and a conservative political ideology."
16,28,18-29,female,White,Some college / Associate,50k-75k,Middle,Democrat,Conservative,"28-year-old White female American with some college / associate education, 50k-75k income, Democrat party identification, and a conservative political ideology."
17,61,45-64,male,Asian,Some college / Associate,50k-75k,Middle,Democrat,Moderate,"61-year-old Asian male American with some college / associate education, 50k-75k income, Democrat party identification, and a moderate political ideology."
18,72,65+,male,White,Bachelor's,150k+,High,Democrat,Moderate,"72-year-old White male American with bachelor's education, 150k+ income, Democrat party identification, and a moderate political ideology."
19,49,45-64,female,White,Some college / Associate,50k-75k,Middle,Democrat,Conservative,"49-year-old White female American with some college / associate education, 50k-75k income, Democrat party identification, and a conservative political ideology."
20,38,30-44,female,Hispanic,Bachelor's,75k-100k,Upper-middle,Republican,Conservative,"38-year-old Hispanic female American with bachelor's education, 75k-100k income, Republican party identification, and a conservative political ideology."
21,79,65+,female,White,No HS / HS only,25k-50k,Lower-middle,Republican,Liberal,"79-year-old White female American with no hs / hs only education, 25k-50k income, Republican party identification, and a liberal political ideology."
22,28,18-29,female,White,No HS / HS only,<25k,Low,Republican,Moderate,"28-year-old White female American with no hs / hs only education, <25k income, Republican party identification, and a moderate political ideology."
23,62,45-64,female,White,Graduate degree,50k-75k,Upper-middle,Republican,Conservative,"62-year-old White female American with graduate degree education, 50k-75k income, Republican party identification, and a conservative political ideology."
24,19,18-29,male,Hispanic,No HS / HS only,50k-75k,Middle,Independent / Other,Very liberal,"19-year-old Hispanic male American with no hs / hs only education, 50k-75k income, Independent / Other party identification, and a very liberal political ideology."
25,46,45-64,male,White,No HS / HS only,100k-150k,Upper-middle,Democrat,Liberal,"46-year-old White male American with no hs / hs only education, 100k-150k income, Democrat party identification, and a liberal political ideology."
26,34,30-44,female,White,Bachelor's,<25k,Upper-middle,Independent / Other,Conservative,"34-year-old White female American with bachelor's education, <25k income, Independent / Other party identification, and a conservative political ideology."
27,62,45-64,female,Black,Graduate degree,150k+,High,Independent / Other,Liberal,"62-year-old Black female American with graduate degree education, 150k+ income, Independent / Other party identification, and a liberal political ideology."
28,36,30-44,female,Asian,No HS / HS only,<25k,Low,Republican,Very conservative,"36-year-old Asian female American with no hs / hs only education, <25k income, Republican party identification, and a very conservative political ideology."
29,41,30-44,male,Asian,Graduate degree,50k-75k,Upper-middle,Independent / Other,Liberal,"41-year-old Asian male American with graduate degree education, 50k-75k income, Independent / Other party identification, and a liberal political ideology."
30,83,65+,female,Hispanic,No HS / HS only,25k-50k,Lower-middle,Democrat,Moderate,"83-year-old Hispanic female American with no hs / hs only education, 25k-50k income, Democrat party identification, and a moderate political ideology."
31,46,45-64,male,Other / Mixed,No HS / HS only,25k-50k,Lower-middle,Republican,Conservative,"46-year-old Other / Mixed male American with no hs / hs only education, 25k-50k income, Republican party identification, and a conservative political ideology."
32,27,18-29,female,White,Some college / Associate,75k-100k,Upper-middle,Republican,Moderate,"27-year-old White female American with some college / associate education, 75k-100k income, Republican party identification, and a moderate political ideology."
33,71,65+,male,Hispanic,No HS / HS only,25k-50k,Lower-middle,Democrat,Moderate,"71-year-old Hispanic male American with no hs / hs only education, 25k-50k income, Democrat party identification, and a moderate political ideology."
34,67,65+,female,White,Some college / Associate,50k-75k,Middle,Democrat,Moderate,"67-year-old White female American with some college / associate education, 50k-75k income, Democrat party identification, and a moderate political ideology."
